protection_level,term,underlying_asset,protection_type,participation_rate,year,volatility,interest_rate,funding_spread,funding_source
0.15,1.0,S&P 500,Buffer,0.8415479531524757,1999,0.2437297620470561,0.0563485200119018,0.0156924242424242,FRED TED
0.2,1.0,S&P 500,Buffer,0.7605751840120558,1999,0.2437297620470561,0.0563485200119018,0.0156924242424242,FRED TED
0.05,1.0,S&P 500,Buffer,1.166245085421019,2000,0.2331500001937624,0.0601872618803902,0.0209938697318007,FRED TED
0.1,1.0,S&P 500,Buffer,1.0154580560702806,2000,0.2331500001937624,0.0601872618803902,0.0209938697318007,FRED TED
0.15,1.0,S&P 500,Buffer,0.9058234180638084,2000,0.2331500001937624,0.0601872618803902,0.0209938697318007,FRED TED
0.2,1.0,S&P 500,Buffer,0.8319828332124927,2000,0.2331500001937624,0.0601872618803902,0.0209938697318007,FRED TED
0.05,1.0,S&P 500,Buffer,1.1689378198264826,2001,0.2574967748118985,0.0499684677970024,0.0230089147286821,FRED TED
0.1,1.0,S&P 500,Buffer,1.0032469080384483,2001,0.2574967748118985,0.0499684677970024,0.0230089147286821,FRED TED
0.15,1.0,S&P 500,Buffer,0.8764585737540435,2001,0.2574967748118985,0.0499684677970024,0.0230089147286821,FRED TED
0.2,1.0,S&P 500,Buffer,0.785273206123037,2001,0.2574967748118985,0.0499684677970024,0.0230089147286821,FRED TED
0.05,1.0,S&P 500,Buffer,1.2029765705010715,2002,0.2729246031291901,0.045855872990593,0.0283847328244274,FRED TED
0.1,1.0,S&P 500,Buffer,1.0333684579299878,2002,0.2729246031291901,0.045855872990593,0.0283847328244274,FRED TED
0.15,1.0,S&P 500,Buffer,0.9003954268919117,2002,0.2729246031291901,0.045855872990593,0.0283847328244274,FRED TED
0.2,1.0,S&P 500,Buffer,0.8017242648479799,2002,0.2729246031291901,0.045855872990593,0.0283847328244274,FRED TED
0.05,1.0,S&P 500,Buffer,1.1696918090565824,2003,0.2198285712136162,0.0399912350396236,0.0189049808429118,FRED TED
0.1,1.0,S&P 500,Buffer,0.9775565600626324,2003,0.2198285712136162,0.0399912350396236,0.0189049808429118,FRED TED
0.15,1.0,S&P 500,Buffer,0.8389752444529799,2003,0.2198285712136162,0.0399912350396236,0.0189049808429118,FRED TED
0.2,1.0,S&P 500,Buffer,0.747036935793156,2003,0.2198285712136162,0.0399912350396236,0.0189049808429118,FRED TED
0.05,1.0,S&P 500,Buffer,1.177761999130552,2004,0.1548035713226076,0.042567380884337,0.0126292775665399,FRED TED
0.1,1.0,S&P 500,Buffer,0.9887390262676745,2004,0.1548035713226076,0.042567380884337,0.0126292775665399,FRED TED
0.15,1.0,S&P 500,Buffer,0.8803112736413362,2004,0.1548035713226076,0.042567380884337,0.0126292775665399,FRED TED
0.2,1.0,S&P 500,Buffer,0.8277780673098268,2004,0.1548035713226076,0.042567380884337,0.0126292775665399,FRED TED
0.05,1.0,S&P 500,Buffer,1.2389841300275495,2005,0.1280706349630204,0.0428236800956726,0.0129938697318007,FRED TED
0.1,1.0,S&P 500,Buffer,1.0618014097067066,2005,0.1280706349630204,0.0428236800956726,0.0129938697318007,FRED TED
0.15,1.0,S&P 500,Buffer,0.9777619999450834,2005,0.1280706349630204,0.0428236800956726,0.0129938697318007,FRED TED
0.2,1.0,S&P 500,Buffer,0.9466193673427581,2005,0.1280706349630204,0.0428236800956726,0.0129938697318007,FRED TED
0.05,1.0,S&P 500,Buffer,1.223694140878834,2006,0.1280653384387255,0.0479159998321533,0.0121030769230769,FRED TED
0.1,1.0,S&P 500,Buffer,1.065536109118477,2006,0.1280653384387255,0.0479159998321533,0.0121030769230769,FRED TED
0.15,1.0,S&P 500,Buffer,0.9917725110005879,2006,0.1280653384387255,0.0479159998321533,0.0121030769230769,FRED TED
0.2,1.0,S&P 500,Buffer,0.9649463504860762,2006,0.1280653384387255,0.0479159998321533,0.0121030769230769,FRED TED
0.05,1.0,S&P 500,Buffer,1.178794776852185,2007,0.1753593621500934,0.046268645301758,0.01521,FRED TED
0.1,1.0,S&P 500,Buffer,0.9983927783471662,2007,0.1753593621500934,0.046268645301758,0.01521,FRED TED
0.15,1.0,S&P 500,Buffer,0.8852394433734014,2007,0.1753593621500934,0.046268645301758,0.01521,FRED TED
0.2,1.0,S&P 500,Buffer,0.8230631366722996,2007,0.1753593621500934,0.046268645301758,0.01521,FRED TED
0.05,1.0,S&P 500,Buffer,1.262378189515805,2008,0.3269260867122605,0.0364879841955282,0.0413377862595419,FRED TED
0.1,1.0,S&P 500,Buffer,1.0919609942336779,2008,0.3269260867122605,0.0364879841955282,0.0413377862595419,FRED TED
0.15,1.0,S&P 500,Buffer,0.9502061617104346,2008,0.3269260867122605,0.0364879841955282,0.0413377862595419,FRED TED
0.2,1.0,S&P 500,Buffer,0.836714311988514,2008,0.3269260867122605,0.0364879841955282,0.0413377862595419,FRED TED
0.05,1.0,S&P 500,Buffer,1.324874064525963,2009,0.3147857146036057,0.0324862301633471,0.0476297709923664,FRED TED
0.1,1.0,S&P 500,Buffer,1.1455545198357642,2009,0.3147857146036057,0.0324862301633471,0.0476297709923664,FRED TED
0.15,1.0,S&P 500,Buffer,0.9975940957613325,2009,0.3147857146036057,0.0324862301633471,0.0476297709923664,FRED TED
0.2,1.0,S&P 500,Buffer,0.88040282222169,2009,0.3147857146036057,0.0324862301633471,0.0476297709923664,FRED TED
0.05,1.0,S&P 500,Buffer,1.211534146263254,2010,0.225488888574025,0.0319465338566388,0.0231076045627376,FRED TED
0.1,1.0,S&P 500,Buffer,1.0020065474802047,2010,0.225488888574025,0.0319465338566388,0.0231076045627376,FRED TED
0.15,1.0,S&P 500,Buffer,0.8478747498947061,2010,0.225488888574025,0.0319465338566388,0.0231076045627376,FRED TED
0.2,1.0,S&P 500,Buffer,0.7430601367607765,2010,0.225488888574025,0.0319465338566388,0.0231076045627376,FRED TED
0.05,1.0,S&P 500,Buffer,1.1991809611810267,2011,0.2420257932799203,0.0276101586932227,0.023407662835249,FRED TED
0.1,1.0,S&P 500,Buffer,0.9856709033611015,2011,0.2420257932799203,0.0276101586932227,0.023407662835249,FRED TED
0.15,1.0,S&P 500,Buffer,0.8233267207375679,2011,0.2420257932799203,0.0276101586932227,0.023407662835249,FRED TED
0.2,1.0,S&P 500,Buffer,0.7079906757334878,2011,0.2420257932799203,0.0276101586932227,0.023407662835249,FRED TED
0.05,1.0,S&P 500,Buffer,1.3211893763861249,2012,0.1779887998199462,0.0178585200023651,0.0248592307692307,FRED TED
0.1,1.0,S&P 500,Buffer,1.0441136033321716,2012,0.1779887998199462,0.0178585200023651,0.0248592307692307,FRED TED
0.15,1.0,S&P 500,Buffer,0.8602846938494637,2012,0.1779887998199462,0.0178585200023651,0.0248592307692307,FRED TED
0.2,1.0,S&P 500,Buffer,0.7524249840505771,2012,0.1779887998199462,0.0178585200023651,0.0248592307692307,FRED TED
0.05,1.0,S&P 500,Buffer,1.3267226291479195,2013,0.142301190504952,0.02338400793454,0.0199153846153846,FRED TED
0.1,1.0,S&P 500,Buffer,1.0570652908141387,2013,0.142301190504952,0.02338400793454,0.0199153846153846,FRED TED
0.15,1.0,S&P 500,Buffer,0.9064851244274108,2013,0.142301190504952,0.02338400793454,0.0199153846153846,FRED TED
0.2,1.0,S&P 500,Buffer,0.8372136843702751,2013,0.142301190504952,0.02338400793454,0.0199153846153846,FRED TED
0.05,1.0,S&P 500,Buffer,1.2614486441443338,2014,0.1417424607276916,0.0252859126575409,0.0161938697318007,FRED TED
0.1,1.0,S&P 500,Buffer,1.0014626203641226,2014,0.1417424607276916,0.0252859126575409,0.0161938697318007,FRED TED
0.15,1.0,S&P 500,Buffer,0.8574922388181891,2014,0.1417424607276916,0.0252859126575409,0.0161938697318007,FRED TED
0.2,1.0,S&P 500,Buffer,0.791953923312864,2014,0.1417424607276916,0.0252859126575409,0.0161938697318007,FRED TED
0.05,1.0,S&P 500,Buffer,1.276365192596328,2015,0.1667412701107206,0.0213360714108224,0.0204938461538461,FRED TED
0.1,1.0,S&P 500,Buffer,1.0072715901145188,2015,0.1667412701107206,0.0213360714108224,0.0204938461538461,FRED TED
0.15,1.0,S&P 500,Buffer,0.8369122798927867,2015,0.1667412701107206,0.0213360714108224,0.0204938461538461,FRED TED
0.2,1.0,S&P 500,Buffer,0.7432204513478702,2015,0.1667412701107206,0.0213360714108224,0.0204938461538461,FRED TED
0.05,1.0,S&P 500,Buffer,1.3079791480295277,2016,0.158256349109468,0.0183264143675921,0.0211175572519083,FRED TED
0.1,1.0,S&P 500,Buffer,1.0200493802132804,2016,0.158256349109468,0.0183264143675921,0.0211175572519083,FRED TED
0.15,1.0,S&P 500,Buffer,0.8431822478978739,2016,0.158256349109468,0.0183264143675921,0.0211175572519083,FRED TED
0.2,1.0,S&P 500,Buffer,0.7501773476301973,2016,0.158256349109468,0.0183264143675921,0.0211175572519083,FRED TED
0.05,1.0,S&P 500,Buffer,1.330998416620752,2017,0.110902390499039,0.023275378453304,0.0146299999999999,FRED TED
0.1,1.0,S&P 500,Buffer,1.0603086292316801,2017,0.110902390499039,0.023275378453304,0.0146299999999999,FRED TED
0.15,1.0,S&P 500,Buffer,0.9446603457030999,2017,0.110902390499039,0.023275378453304,0.0146299999999999,FRED TED
0.2,1.0,S&P 500,Buffer,0.9087349810938394,2017,0.110902390499039,0.023275378453304,0.0146299999999999,FRED TED
0.05,1.0,S&P 500,Buffer,1.1901910549146872,2018,0.166398406199725,0.0291368526006599,0.0148662835249042,FRED TED
0.1,1.0,S&P 500,Buffer,0.9529209696516844,2018,0.166398406199725,0.0291368526006599,0.0148662835249042,FRED TED
0.15,1.0,S&P 500,Buffer,0.8050589497986506,2018,0.166398406199725,0.0291368526006599,0.0148662835249042,FRED TED
0.2,1.0,S&P 500,Buffer,0.7252015875350459,2018,0.166398406199725,0.0291368526006599,0.0148662835249042,FRED TED
0.05,1.0,S&P 500,Buffer,1.228646021545372,2019,0.1538785708896697,0.0213633332649866,0.0158942528735632,FRED TED
0.1,1.0,S&P 500,Buffer,0.9531985667715254,2019,0.1538785708896697,0.0213633332649866,0.0158942528735632,FRED TED
0.15,1.0,S&P 500,Buffer,0.7885031522814111,2019,0.1538785708896697,0.0213633332649866,0.0158942528735632,FRED TED
0.2,1.0,S&P 500,Buffer,0.7050249416596245,2019,0.1538785708896697,0.0213633332649866,0.0158942528735632,FRED TED
0.05,1.0,S&P 500,Buffer,1.131214036136949,2020,0.2925130438521917,0.008835256926627,0.0201167938931297,FRED TED
0.1,1.0,S&P 500,Buffer,0.9025484403670552,2020,0.2925130438521917,0.008835256926627,0.0201167938931297,FRED TED
0.15,1.0,S&P 500,Buffer,0.715308825578671,2020,0.2925130438521917,0.008835256926627,0.0201167938931297,FRED TED
0.2,1.0,S&P 500,Buffer,0.5688350591692105,2020,0.2925130438521917,0.008835256926627,0.0201167938931297,FRED TED
0.05,1.0,S&P 500,Buffer,1.1011143143444087,2021,0.1965638887693011,0.0144045237983976,0.0116679389312977,FRED TED
0.1,1.0,S&P 500,Buffer,0.8238655294655559,2021,0.1965638887693011,0.0144045237983976,0.0116679389312977,FRED TED
0.15,1.0,S&P 500,Buffer,0.6288102762968802,2021,0.1965638887693011,0.0144045237983976,0.0116679389312977,FRED TED
0.2,1.0,S&P 500,Buffer,0.5046832994860923,2021,0.1965638887693011,0.0144045237983976,0.0116679389312977,FRED TED
0.05,1.0,S&P 500,Buffer,1.1266079285172177,2022,0.256239044675789,0.0295683665199583,0.0173770114942528,FRED TED
0.1,1.0,S&P 500,Buffer,0.9228385102905157,2022,0.256239044675789,0.0295683665199583,0.0173770114942528,FRED TED
0.15,1.0,S&P 500,Buffer,0.764820395223355,2022,0.256239044675789,0.0295683665199583,0.0173770114942528,FRED TED
0.2,1.0,S&P 500,Buffer,0.6495182297892489,2022,0.256239044675789,0.0295683665199583,0.0173770114942528,FRED TED
0.05,1.0,S&P 500,Buffer,1.20063921648231,2023,0.1687004000091552,0.0396503600311279,0.0159988461538461,FRED TED
0.1,1.0,S&P 500,Buffer,1.000695709688454,2023,0.1687004000091552,0.0396503600311279,0.0159988461538461,FRED TED
0.15,1.0,S&P 500,Buffer,0.8772795282795022,2023,0.1687004000091552,0.0396503600311279,0.0159988461538461,FRED TED
0.2,1.0,S&P 500,Buffer,0.8111548550412807,2023,0.1687004000091552,0.0396503600311279,0.0159988461538461,FRED TED
0.05,1.0,S&P 500,Buffer,1.159766516410628,2024,0.156075793523637,0.0420713491950716,0.0114699619771863,FRED TED
0.1,1.0,S&P 500,Buffer,0.9688361673872092,2024,0.156075793523637,0.0420713491950716,0.0114699619771863,FRED TED
0.15,1.0,S&P 500,Buffer,0.8584381445978304,2024,0.156075793523637,0.0420713491950716,0.0114699619771863,FRED TED
0.2,1.0,S&P 500,Buffer,0.8043675443512323,2024,0.156075793523637,0.0420713491950716,0.0114699619771863,FRED TED
